entry_no,file_handle,name,formula,charge,dG_solv_kcal,dG_solv_kJ,type,SASA_H,SASA_C,SASA_HC,SASA_CC,SASA_HO,SASA_HN,SASA_O,SASA_N,SASA_F,SASA_Cl,SASA_Br,SASA_I,SASA_S,SASA_total
2093,0001met,methane,H4C1,0,2.0,8.37,abs,51.962,18.185,35.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.146
2094,0002eth,ethane,H6C2,0,1.83,7.66,abs,77.127,20.282,51.988,12.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.41
2095,0003pro,n-propane,H8C3,0,1.96,8.2,abs,99.322,22.641,66.901,16.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.963
2096,0004nbu,n-butane,H10C4,0,2.08,8.7,abs,121.047,25.309,81.503,19.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.356
2097,0005npe,n-pentane,H12C5,0,2.33,9.75,abs,142.678,28.033,96.048,23.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.711
2098,0006nhe,n-hexane,H14C6,0,2.49,10.42,abs,164.387,30.708,110.642,26.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.095
2099,0007nhe,n-heptane,H16C7,0,2.62,10.96,abs,186.066,33.38,125.206,29.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.446
2100,0008noc,n-octane,H18C8,0,2.89,12.09,abs,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.846
2101,0010met,2-methylpropane,H10C4,0,2.32,9.71,abs,118.32,25.092,79.672,16.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.412
2102,0011dim,"2,2-dimethylpropane",H12C5,0,2.5,10.46,abs,134.107,27.467,90.299,16.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.575
2103,0012met,2-methylpentane,H14C6,0,2.52,10.54,abs,156.27,30.4,105.207,23.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.67
2104,0013dim,"2,4-dimethylpentane",H16C7,0,2.88,12.05,abs,172.054,33.033,115.807,22.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.086
2105,0014tri,"2,2,4-trimethylpentane",H18C8,0,2.85,11.92,abs,182.802,35.275,123.065,23.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.077
2106,0016cyc,cyclopropane,H6C3,0,0.75,3.14,abs,77.38,31.424,52.425,39.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.805
2107,0017cyc,cyclopentane,H10C5,0,1.2,5.02,abs,124.527,24.945,83.907,30.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.472
2108,0018cyc,cyclohexane,H12C6,0,1.23,5.15,abs,143.245,23.821,96.383,29.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.066
2109,0019met,methylcyclohexane,H14C7,0,1.71,7.15,abs,161.589,26.737,108.713,28.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.326
2110,0020cis,"cis-1,2-dimethylcyclohexane",H16C8,0,1.58,6.61,abs,173.123,29.346,116.507,28.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.47
2111,0021eth,ethene,H4C2,0,1.27,5.31,abs,51.723,35.694,34.995,25.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.417
2112,0022pro,propene,H6C3,0,1.27,5.31,abs,74.931,37.922,50.57,32.397999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.853
2113,0023str,"s-trans-1,3-butadiene",H6C4,0,0.61,2.55,abs,73.253,55.199,49.539,51.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.452
2114,0024met,2-methylpropene,H8C4,0,1.16,4.85,abs,94.876,40.715,63.97,33.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.592
2115,0025buta,1-butene,H8C4,0,1.38,5.77,abs,95.675,39.03,64.522,35.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.705
2116,0026cyc,cyclopentene,H8C5,0,0.56,2.34,abs,101.683,39.462,68.563,50.510999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.145
2117,0027pen,1-pentene,H10C5,0,1.66,6.95,abs,117.087,41.852,78.913,38.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.939
2118,0028Epe,E-2-pentene,H10C5,0,1.34,5.61,abs,121.125,42.219,81.604,41.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.344
2119,0029hex,1-hexene,H12C6,0,1.68,7.03,abs,141.892,44.947,95.596,41.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.839
2120,0030eth,ethyne,H2C2,0,-0.01,-0.04,abs,25.365,52.735,17.324,71.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.1
2121,0031pro,propyne,H4C3,0,-0.31,-1.3,abs,51.026,53.718,34.515,75.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.744
2122,0032but,1-butyne,H6C4,0,-0.16,-0.67,abs,75.419,55.046,50.949,76.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.466
2123,0033pen,1-pentyne,H8C5,0,0.01,0.04,abs,96.897,55.931,65.386,75.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.828
2124,0034hex,1-hexyne,H10C6,0,0.29,1.21,abs,118.988,60.17,80.228,82.53399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.158
2125,0035ben,benzene,H6C6,0,-0.87,-3.64,abs,77.548,65.297,52.481,87.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.845
2126,0036tol,toluene,H8C7,0,-0.89,-3.72,abs,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.45
2127,0037eth,ethylbenzene,H10C8,0,-0.8,-3.35,abs,121.589,68.862,82.09,87.919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.451
2128,0038oxy,o-xylene,H10C8,0,-0.9,-3.77,abs,114.595,70.264,77.341,88.953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.859
2129,0039mxy,m-xylene,H10C8,0,-0.84,-3.51,abs,119.554,70.474,80.676,88.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.028
2130,0040pxy,p-xylene,H10C8,0,-0.81,-3.39,abs,119.822,70.392,80.854,87.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.215
2131,0041nap,naphthalene,H8C10,0,-2.39,-10.0,abs,98.761,96.028,66.823,135.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.789
2132,0042ant,anthracene,H10C14,0,-4.23,-17.7,abs,119.955,126.748,81.154,183.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.703
2133,0044met,methanol,H4C1O1,0,-5.11,-21.38,abs,52.775,11.719,26.292,0.0,9.816,0.0,19.87,0.0,0.0,0.0,0.0,0.0,0.0,84.309
2134,0045eth,ethanol,H6C2O1,0,-5.01,-20.96,abs,77.419,14.671,42.861,9.102,9.835,0.0,18.099,0.0,0.0,0.0,0.0,0.0,0.0,110.185
2135,0046eth,"1,2-ethanediol",H6C2O2,0,-9.3,-38.91,abs,73.853,10.474,33.926,6.484,16.718,0.0,35.962,0.0,0.0,0.0,0.0,0.0,0.0,120.061
2136,0047pro,1-propanol,H8C3O1,0,-4.83,-20.21,abs,99.3,17.234,57.569,12.949,9.837,0.0,18.032999999999998,0.0,0.0,0.0,0.0,0.0,0.0,134.556
