entry_id,metal,ligand,log_K_exp,log_K_pred,residual,dg_net,donors_raw,donors_dedup,donors_used
NIST_Mg(II)_5760_K1,Mg(II),Aminoacetic acid (Glycine),1.66,1.25,-0.41,-14.7,3,2,2
NIST_Ca(II)_5760_K1,Ca(II),Aminoacetic acid (Glycine),1.09,1.54,0.45,-12.78,3,2,2
NIST_Sr(II)_5760_K1,Sr(II),Aminoacetic acid (Glycine),0.6,0.51,-0.09,-14.67,3,2,2
NIST_La(III)_5760_K1,La(III),Aminoacetic acid (Glycine),3.1,3.61,0.51,-25.76,3,2,2
NIST_Nd(III)_5760_K1,Nd(III),Aminoacetic acid (Glycine),3.26,2.37,-0.89,-33.96,3,2,2
NIST_Eu(III)_5760_K1,Eu(III),Aminoacetic acid (Glycine),3.5,3.46,-0.04,-34.1,3,2,2
NIST_Gd(III)_5760_K1,Gd(III),Aminoacetic acid (Glycine),3.4,3.82,0.42,-32.47,3,2,2
NIST_Dy(III)_5760_K1,Dy(III),Aminoacetic acid (Glycine),3.6,1.77,-1.83,-34.29,3,2,2
NIST_Yb(III)_5760_K1,Yb(III),Aminoacetic acid (Glycine),3.9,4.13,0.23,-34.5,3,2,2
NIST_Lu(III)_5760_K1,Lu(III),Aminoacetic acid (Glycine),3.9,4.56,0.66,-32.72,3,2,2
NIST_Mn(II)_5760_K1,Mn(II),Aminoacetic acid (Glycine),2.8,1.66,-1.14,-20.24,3,2,2
NIST_Co(II)_5760_K1,Co(II),Aminoacetic acid (Glycine),4.67,2.11,-2.56,-21.72,3,2,2
NIST_Ni(II)_5760_K1,Ni(II),Aminoacetic acid (Glycine),5.74,2.66,-3.08,-21.98,3,2,2
NIST_Cu(II)_5760_K1,Cu(II),Aminoacetic acid (Glycine),8.19,3.34,-4.85,-18.36,3,2,2
NIST_Ag(I)_5760_K1,Ag(I),Aminoacetic acid (Glycine),3.2,2.45,-0.75,-8.65,3,2,2
NIST_Tl(I)_5760_K1,Tl(I),Aminoacetic acid (Glycine),1.51,-0.46,-1.97,-12.62,3,2,2
NIST_Zn(II)_5760_K1,Zn(II),Aminoacetic acid (Glycine),4.96,3.96,-1.0,-20.94,3,2,2
NIST_Cd(II)_5760_K1,Cd(II),Aminoacetic acid (Glycine),4.25,3.04,-1.21,-19.08,3,2,2
NIST_Pb(II)_5760_K1,Pb(II),Aminoacetic acid (Glycine),4.72,5.4,0.68,-19.16,3,2,2
NIST_Al(III)_5760_K1,Al(III),Aminoacetic acid (Glycine),5.91,7.76,1.85,-26.67,3,2,2
NIST_Mn(II)_5761_K1,Mn(II),L-2-Aminopropanoic acid (Alanine),2.45,1.66,-0.79,-20.24,3,2,2
NIST_Co(II)_5761_K1,Co(II),L-2-Aminopropanoic acid (Alanine),4.31,2.11,-2.2,-21.72,3,2,2
NIST_Ni(II)_5761_K1,Ni(II),L-2-Aminopropanoic acid (Alanine),5.36,2.66,-2.7,-21.98,3,2,2
